Family,Name,Base Ticker,Dissemination(s),Learn more
Benchmark Reference Rate,Kaiko SAND Reference Rate,KK_RFR_SANDUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_SANDUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko WIF Reference Rate,KK_RFR_WIFUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_WIFUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko CRV Reference Rate ,KK_RFR_CRVUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_CRVUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko CHR Reference Rate,KK_RFR_CHRUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_CHRUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko SAND Benchmark Reference Rate,KK_BRR_SANDUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_BRR_SANDUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko OXT Benchmark Reference Rate,KK_BRR_OXTUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_BRR_OXTUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko AMPL Reference Rate,KK_RFR_AMPLUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_AMPLUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko BSX Reference Rate,KK_RFR_BSXUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_BSXUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko VOXEL Reference Rate,KK_RFR_VOXELUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_VOXELUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko PHA Reference Rate ,KK_RFR_PHAUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_PHAUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko ALGO Reference Rate,KK_RFR_ALGOUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_ALGOUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko ANKR Reference Rate,KK_RFR_ANKRUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_ANKRUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko BICO Reference Rate,KK_RFR_BICOUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_BICOUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko CQT Reference Rate,KK_RFR_CQTUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_CQTUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko CTSI Reference Rate,KK_RFR_CTSIUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_CTSIUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko ETC Reference Rate,KK_RFR_ETCUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_ETCUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko KEEP Reference Rate,KK_RFR_KEEPUSD,"Daily Fixing LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_KEEPUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko SLP Reference Rate,KK_RFR_SLPUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_SLPUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko GALA Benchmark Reference Rate,KK_BRR_GALAUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_BRR_GALAUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko BNB Reference Rate,KK_RFR_BNBUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_BNBUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko DGB Reference Rate,KK_RFR_DGBUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_DGBUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko TRU Reference Rate,KK_RFR_TRUUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_TRUUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko WBTC Reference Rate,KK_RFR_WBTCUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_WBTCUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko BIGTIME Reference Rate,KK_RFR_BIGTIMEUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_BIGTIMEUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko IOTA Reference Rate,KK_RFR_IOTAUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_IOTAUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko MV Reference Rate,KK_RFR_MVUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_MVUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko FIDA Reference Rate,KK_RFR_FIDAUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_FIDAUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko UNI Benchmark Reference Rate,KK_BRR_UNIUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_BRR_UNIUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko CHZ Reference Rate,KK_RFR_CHZUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_CHZUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko CTXF Reference Rate,KK_RFR_CTXFUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_CTXFUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko HIGH Reference Rate,KK_RFR_HIGHUSD,"Daily Fixing SGP, LDN, NYC","<a href=""https://explorer.kaiko.com/rates/KK_RFR_HIGHUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko UNI Reference Rate ,KK_RFR_UNIUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_UNIUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko LCX Reference Rate,KK_RFR_LCXUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_LCXUSD"" target=""_blank"">Explore performance</a>"
Benchmark Reference Rate,Kaiko MINA Reference Rate,KK_RFR_MINAUSD,"Daily Fixing SGP, LDN, NYC, Real-time (5s)","<a href=""https://explorer.kaiko.com/rates/KK_RFR_MINAUSD"" target=""_blank"">Explore performance</a>"
